"","Fir.Spruce","Coniferous.Forested.Wetland","Pine","Aspen.Paper.Birch","Northern.Hardwoods","Broad.leaved.Deciduous.Scrub.Shrub","Swamp.Hardwoods","Broad.leaved.Evergreen.Scrub.Shrub","Open.Water","Red.Maple","Mixed.Deciduous.Coniferous.Forest","Other","nsc","lignin","lma","nitr","pheno","evi","ndvi","nirv","lai"
"Fir.Spruce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coniferous.Forested.Wetland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.419795122104366,NA,-0.417548784979135,NA
"Pine",NA,NA,NA,-0.453437016367165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594081319746748,-0.668469437654324,NA,NA,NA,NA,NA
"Aspen.Paper.Birch",NA,NA,-0.453437016367165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.468238020808451,0.598568047895746,NA,NA,NA,NA,NA
"Northern.Hardwoods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.506407404561194,NA,NA,0.745534657399107,NA,NA,NA,NA
"Broad.leaved.Deciduous.Scrub.Shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swamp.Hardwoods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad.leaved.Evergreen.Scrub.Shrub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Open.Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red.Maple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mixed.Deciduous.Coniferous.Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nsc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.412911675229796,-0.572612446968975,0.428403279837066,NA,NA,NA,NA,NA
"lignin",NA,NA,NA,NA,-0.506407404561194,NA,NA,NA,NA,NA,NA,NA,0.412911675229796,NA,NA,NA,-0.636971285038352,NA,NA,NA,NA
"lma",NA,NA,0.594081319746748,-0.468238020808451,NA,NA,NA,NA,NA,NA,NA,NA,-0.572612446968975,NA,NA,-0.819171650022065,NA,NA,NA,-0.414148877531413,NA
"nitr",NA,NA,-0.668469437654324,0.598568047895746,NA,NA,NA,NA,NA,NA,NA,NA,0.428403279837066,NA,-0.819171650022065,NA,NA,NA,NA,NA,NA
"pheno",NA,NA,NA,NA,0.745534657399107,NA,NA,NA,NA,NA,NA,NA,NA,-0.636971285038352,NA,NA,NA,NA,0.439574432743804,NA,NA
"evi",NA,-0.419795122104366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683699499175707,0.994541374040834,NA
"ndvi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439574432743804,0.683699499175707,NA,0.676556985471308,NA
"nirv",NA,-0.417548784979135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.414148877531413,NA,NA,0.994541374040834,0.676556985471308,NA,NA
"lai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
