"","site","igbp","ncontent","nsc","carbon","lignin","lma","agemean","agemax","agemin","mgmt"
"1","US-PFb","ENF",NA,222.144177420055,NA,218.065428116987,222.144177420055,NA,NA,NA,NA
"2","US-PFc","DBF",NA,222.291493757719,NA,199.367753332486,222.291493757719,44.08,111,7,NA
"3","US-PFd","WET",NA,149.58904356568,NA,130.585861017766,149.58904356568,NA,NA,NA,NA
"4","US-PFe","WAT",NA,239.557798669469,NA,192.172382812072,239.557798669469,NA,NA,NA,NA
"5","US-PFg","ENF",NA,227.376404578271,NA,217.301197250466,227.376404578271,NA,NA,NA,NA
"6","US-PFh","ENF",NA,242.647316094693,NA,206.96225273666,242.647316094693,56.77,92,18,NA
"7","US-PFi","DBF",NA,236.31468256795,NA,175.353290288106,236.31468256795,71.29,108,41,NA
"8","US-PFj","DBF",NA,238.003262180736,NA,179.741736011963,238.003262180736,108.5,150,76,NA
"9","US-PFk","DBF",NA,209.88757929668,NA,210.290521232015,209.88757929668,NA,NA,NA,NA
"10","US-PFL","DBF",NA,257.00858615796,NA,234.459533665617,257.00858615796,63.5,124,26,NA
"11","US-PFn","DBF",NA,262.889626241472,NA,207.631416243748,262.889626241472,76.26,100,39,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","US-PFp","DBF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","US-PFq","DBF",NA,249.160674362505,NA,206.511063440933,249.160674362505,42,64,22,NA
"15","US-PFr","WET",NA,169.043060451571,NA,136.313864024054,169.043060451571,NA,NA,NA,NA
"16","US-PFs","DBF",NA,228.223562239264,NA,205.05073555361,228.223562239264,55.67,106,7,NA
